name	language	family	closed_class	open_class	vocab	closed_ratio	open_ratio	closed_freq_ratio	open_freq_ratio
UD_Bulgarian-BTB	Bulgarian	Indo-European	517	26425	26942	0.01918936975725633	0.9808106302427436	0.38981091912926347	0.6101890808707365
UD_Bulgarian-BTB	Bulgarian	Indo-European	529	28308	28837	0.01834448798418698	0.981655512015813	0.3907210190322773	0.6092789809677227
UD_Buryat-BDT	Buryat	Altaic	318	4021	4339	0.0732887762157179	0.9267112237842821	0.13774205334307635	0.8622579466569237
UD_Buryat-BDT	Buryat	Altaic	328	4073	4401	0.07452851624630766	0.9254714837536924	0.13953209358128374	0.8604679064187163
UD_Cantonese-HK	Cantonese	Sino-Tibetan	218	1369	1587	0.13736609955891618	0.8626339004410838	0.36232013584770756	0.6376798641522924
UD_Cappadocian-AMGiC	Cappadocian	Indo-European	65	166	231	0.2813852813852814	0.7186147186147186	0.444743935309973	0.555256064690027
UD_Cappadocian-TueCL	Cappadocian	Indo-European	233	854	1087	0.21435142594296228	0.7856485740570377	0.5267989339650577	0.4732010660349423
UD_Catalan-AnCora	Catalan	Indo-European	309	9431	9740	0.031724845995893224	0.9682751540041068	0.5056451462901996	0.4943548537098004
UD_Catalan-AnCora	Catalan	Indo-European	357	14370	14727	0.024241189651660215	0.9757588103483398	0.5099919313981198	0.4900080686018802
UD_Catalan-AnCora	Catalan	Indo-European	519	34797	35316	0.014695888549099558	0.9853041114509005	0.5102926664877399	0.4897073335122602
UD_Cebuano-GJA	Cebuano	Austronesian	108	419	527	0.2049335863377609	0.7950664136622391	0.5254091300602929	0.47459086993970717
UD_Central_Kurdish-Mukri	Central_Kurdish	unknown	27	46	73	0.3698630136986301	0.6301369863013698	0.4444444444444444	0.5555555555555556
UD_Central_Kurdish-Mukri	Central_Kurdish	unknown	38	83	121	0.3140495867768595	0.6859504132231405	0.4	0.6
UD_Central_Kurdish-Mukri	Central_Kurdish	unknown	75	249	324	0.23148148148148148	0.7685185185185185	0.3847402597402597	0.6152597402597403
UD_Chinese-Beginner	Chinese	Sino-Tibetan	153	1407	1560	0.09807692307692308	0.9019230769230769	0.33349056603773586	0.6665094339622641
UD_Chinese-CFL	Chinese	Sino-Tibetan	170	1387	1557	0.10918432883750803	0.8908156711624919	0.35647782862553257	0.6435221713744674
UD_Chinese-GSD	Chinese	Sino-Tibetan	915	16449	17364	0.05269523151347616	0.9473047684865239	0.2792747837658017	0.7207252162341983
UD_Chinese-GSD	Chinese	Sino-Tibetan	955	17681	18636	0.05124490233955784	0.9487550976604422	0.28026483050847456	0.7197351694915254
UD_Chinese-GSD	Chinese	Sino-Tibetan	992	18933	19925	0.04978670012547051	0.9502132998745295	0.2797753129366143	0.7202246870633857
UD_Chinese-GSDSimp	Chinese	Sino-Tibetan	897	16386	17283	0.05190071168199965	0.9480992883180004	0.2792866647657067	0.7207133352342934
UD_Chinese-GSDSimp	Chinese	Sino-Tibetan	936	17610	18546	0.050469103849886766	0.9495308961501132	0.28027542372881353	0.7197245762711865
UD_Chinese-GSDSimp	Chinese	Sino-Tibetan	971	18853	19824	0.04898103309120258	0.9510189669087974	0.2797848174655223	0.7202151825344777
UD_Chinese-HK	Chinese	Sino-Tibetan	207	1382	1589	0.1302706104468219	0.8697293895531781	0.32710510141364474	0.6728948985863552
UD_Chinese-PUD	Chinese	Sino-Tibetan	237	5017	5254	0.0451084887704606	0.9548915112295394	0.28005712088757073	0.7199428791124293
UD_Chinese-PatentChar	Chinese	Sino-Tibetan	70	600	670	0.1044776119402985	0.8955223880597015	0.19334916864608076	0.8066508313539192
UD_Chintang-CTNTB	Chintang	unknown	332	4507	4839	0.06860921678032651	0.9313907832196735	0.3091560713371448	0.6908439286628552
UD_Chukchi-HSE	Chukchi	Chukotko-Kamchatkan	242	2106	2348	0.1030664395229983	0.8969335604770017	0.32442510876320696	0.675574891236793
UD_Classical_Armenian-CAVaL	Classical_Armenian	Indo-European	224	1663	1887	0.118706942236354	0.881293057763646	0.5499285807038047	0.4500714192961953
UD_Classical_Armenian-CAVaL	Classical_Armenian	Indo-European	470	8624	9094	0.05168242797448867	0.9483175720255114	0.5381276877274231	0.4618723122725769
UD_Classical_Armenian-CAVaL	Classical_Armenian	Indo-European	484	9096	9580	0.050521920668058454	0.9494780793319415	0.5396383376220523	0.46036166237794773
UD_Classical_Chinese-Kyoto	Classical_Chinese	Sino-Tibetan	72	3041	3113	0.023128814648249278	0.9768711853517508	0.17013821296476542	0.8298617870352346
UD_Classical_Chinese-Kyoto	Classical_Chinese	Sino-Tibetan	114	9495	9609	0.011863877614736186	0.9881361223852638	0.1722686061325714	0.8277313938674286
UD_Classical_Chinese-Kyoto	Classical_Chinese	Sino-Tibetan	116	9753	9869	0.011753977100010133	0.9882460228999899	0.17397174617878647	0.8260282538212135
UD_Classical_Chinese-TueCL	Classical_Chinese	Sino-Tibetan	28	230	258	0.10852713178294573	0.8914728682170543	0.2808641975308642	0.7191358024691358
UD_Coptic-Bohairic	Coptic	Afro-Asiatic	159	565	724	0.21961325966850828	0.7803867403314917	0.6866414493330679	0.31335855066693213
UD_Coptic-Bohairic	Coptic	Afro-Asiatic	221	1147	1368	0.1615497076023392	0.8384502923976608	0.6689193456704352	0.33108065432956485
UD_Coptic-Bohairic	Coptic	Afro-Asiatic	262	1850	2112	0.1240530303030303	0.8759469696969697	0.6666354352103439	0.33336456478965615
UD_Coptic-Scriptorium	Coptic	Afro-Asiatic	265	2016	2281	0.11617711530030689	0.8838228846996932	0.6609869506524674	0.3390130493475326
UD_Coptic-Scriptorium	Coptic	Afro-Asiatic	276	2298	2574	0.10722610722610723	0.8927738927738927	0.6604598964774862	0.33954010352251385
UD_Coptic-Scriptorium	Coptic	Afro-Asiatic	285	2548	2833	0.10060007059654077	0.8993999294034593	0.6601342633281597	0.3398657366718402
UD_Croatian-SET	Croatian	Indo-European	718	31430	32148	0.022334204305088964	0.9776657956949111	0.3449243058879847	0.6550756941120153
UD_Croatian-SET	Croatian	Indo-European	742	34359	35101	0.021138998888920544	0.9788610011110794	0.3441964897623508	0.6558035102376493
UD_Croatian-SET	Croatian	Indo-European	757	37315	38072	0.019883378861105274	0.9801166211388948	0.3430033150945777	0.6569966849054223
UD_Czech-CAC	Czech	Indo-European	998	65300	66298	0.01505324444176295	0.9849467555582371	0.31666925337808344	0.6833307466219165
UD_Czech-CAC	Czech	Indo-European	1009	66423	67432	0.01496322220904022	0.9850367777909598	0.31666121361271937	0.6833387863872806
UD_Czech-CAC	Czech	Indo-European	1010	67545	68555	0.014732696375173219	0.9852673036248267	0.3158590308370044	0.6841409691629956
UD_Czech-CLTT	Czech	Indo-European	157	2256	2413	0.06506423539162867	0.9349357646083714	0.29474872953133824	0.7052512704686618
UD_Czech-CLTT	Czech	Indo-European	224	3396	3620	0.061878453038674036	0.938121546961326	0.2950633722937318	0.7049366277062682
UD_Czech-CLTT	Czech	Indo-European	248	4117	4365	0.056815578465063	0.943184421534937	0.29315750017038095	0.706842499829619
UD_Czech-FicTree	Czech	Indo-European	990	24993	25983	0.03810183581572567	0.9618981641842743	0.4282867239327201	0.57171327606728
UD_Czech-FicTree	Czech	Indo-European	1013	27001	28014	0.03616049118297994	0.9638395088170201	0.42913644270850426	0.5708635572914957
UD_Czech-FicTree	Czech	Indo-European	1040	28914	29954	0.034719903852573945	0.965280096147426	0.429229007351583	0.570770992648417
UD_Czech-PDTC	Czech	Indo-European	1131	48784	49915	0.022658519483121305	0.9773414805168787	0.3779415197632477	0.6220584802367524
UD_Czech-PDTC	Czech	Indo-European	1784	190931	192715	0.00925719326466544	0.9907428067353345	0.3739347055024005	0.6260652944975995
UD_Czech-PDTC	Czech	Indo-European	1832	203766	205598	0.008910592515491396	0.9910894074845086	0.3724353693262886	0.6275646306737114
UD_Czech-PUD	Czech	Indo-European	413	7473	7886	0.05237129089525742	0.9476287091047426	0.32057146437746725	0.6794285356225327
UD_Czech-Poetry	Czech	Indo-European	324	2482	2806	0.11546685673556664	0.8845331432644333	0.35187706671853725	0.6481229332814628
UD_Danish-DDT	Danish	Indo-European	318	15877	16195	0.019635690027786354	0.9803643099722137	0.4118628574744998	0.5881371425255002
UD_Danish-DDT	Danish	Indo-European	326	17259	17585	0.018538527153824282	0.9814614728461757	0.41216971316266104	0.587830286837339
UD_Danish-DDT	Danish	Indo-European	337	18578	18915	0.01781654771345493	0.982183452286545	0.4116898148148148	0.5883101851851852
UD_Dutch-Alpino	Dutch	Indo-European	551	25669	26220	0.021014492753623187	0.9789855072463768	0.44584124595773594	0.554158754042264
UD_Dutch-Alpino	Dutch	Indo-European	555	26667	27222	0.02038792153405334	0.9796120784659467	0.4456850523614198	0.5543149476385801
UD_Dutch-Alpino	Dutch	Indo-European	562	27795	28357	0.019818739641005747	0.9801812603589942	0.4445804536689993	0.5554195463310008
UD_Dutch-LassySmall	Dutch	Indo-European	305	6124	6429	0.047441281692331624	0.9525587183076684	0.43576846965699206	0.5642315303430079
UD_Dutch-LassySmall	Dutch	Indo-European	528	30008	30536	0.01729106628242075	0.9827089337175793	0.42582259326449373	0.5741774067355063
UD_Dutch-LassySmall	Dutch	Indo-European	539	32153	32692	0.01648721399730821	0.9835127860026918	0.42561052117945025	0.5743894788205498
UD_Egyptian-UJaen	Egyptian	Afro-Asiatic	131	1784	1915	0.06840731070496084	0.9315926892950391	0.3769120458891013	0.6230879541108987
UD_Egyptian-UJaen	Egyptian	Afro-Asiatic	162	2822	2984	0.054289544235924934	0.9457104557640751	0.372626582278481	0.627373417721519
UD_English-Atis	English	Indo-European	89	793	882	0.10090702947845805	0.8990929705215419	0.4206556366252184	0.5793443633747817
UD_English-Atis	English	Indo-European	89	835	924	0.09632034632034632	0.9036796536796536	0.42049425183307687	0.5795057481669231
UD_English-Atis	English	Indo-European	90	861	951	0.0946372239747634	0.9053627760252366	0.42130355382452284	0.5786964461754771
UD_English-CHILDES	English	Indo-European	275	2293	2568	0.10708722741433022	0.8929127725856698	0.5226359627633513	0.4773640372366487
UD_English-CHILDES	English	Indo-European	327	4217	4544	0.07196302816901408	0.9280369718309859	0.5095551677104263	0.49044483228957364
UD_English-CHILDES	English	Indo-European	445	7624	8069	0.055149336968645435	0.9448506630313546	0.5175572759191472	0.4824427240808527
UD_English-CTeTex	English	Indo-European	141	2026	2167	0.06506691278264883	0.9349330872173511	0.3747890432299104	0.6252109567700895
UD_English-ESLSpok	English	Indo-European	100	518	618	0.16181229773462782	0.8381877022653722	0.5062944718117132	0.49370552818828684
UD_English-ESLSpok	English	Indo-European	129	822	951	0.13564668769716087	0.8643533123028391	0.5037413148049171	0.4962586851950828
UD_English-ESLSpok	English	Indo-European	191	2101	2292	0.08333333333333333	0.9166666666666666	0.49430930595849143	0.5056906940415086
UD_English-EWT	English	Indo-European	303	5321	5624	0.05387624466571835	0.9461237553342816	0.43025864042114903	0.569741359578851
UD_English-EWT	English	Indo-European	374	8421	8795	0.04252416145537237	0.9574758385446276	0.4329046846805692	0.5670953153194308
UD_English-EWT	English	Indo-European	605	22304	22909	0.02640883495569427	0.9735911650443058	0.45034495401358354	0.5496550459864165
UD_English-GENTLE	English	Indo-European	267	3780	4047	0.06597479614529281	0.9340252038547072	0.4036928527628262	0.5963071472371738
UD_English-GUM	English	Indo-European	272	4887	5159	0.0527233960069781	0.9472766039930219	0.46494752377828796	0.535052476221712
UD_English-GUM	English	Indo-European	319	8192	8511	0.03748090706144989	0.9625190929385501	0.45902205957100745	0.5409779404289926
UD_English-GUM	English	Indo-European	450	20369	20819	0.021614871031269512	0.9783851289687305	0.45400770177458416	0.5459922982254158
UD_English-LinES	English	Indo-European	323	8479	8802	0.03669620540786185	0.9633037945921381	0.48782676001829506	0.5121732399817049
UD_English-LinES	English	Indo-European	341	10233	10574	0.032248912426707015	0.967751087573293	0.4876702584503517	0.5123297415496483
UD_English-LinES	English	Indo-European	356	11580	11936	0.02982573726541555	0.9701742627345844	0.4869830399657589	0.5130169600342411
UD_English-LittlePrince	English	Indo-European	170	1047	1217	0.13968775677896467	0.8603122432210353	0.5257373145264701	0.47426268547352995
UD_English-PUD	English	Indo-European	247	5505	5752	0.042941585535465926	0.9570584144645341	0.42525165988434355	0.5747483401156565
UD_English-ParTUT	English	Indo-European	151	987	1138	0.13268892794376097	0.867311072056239	0.4831864185439112	0.5168135814560888
UD_English-ParTUT	English	Indo-European	308	6914	7222	0.042647466075879256	0.9573525339241208	0.4474731783096267	0.5525268216903734
UD_English-ParTUT	English	Indo-European	311	7216	7527	0.04131792214693769	0.9586820778530624	0.4468886337543054	0.5531113662456946
UD_English-Pronouns	English	Indo-European	36	46	82	0.43902439024390244	0.5609756097560976	0.5703971119133574	0.4296028880866426
UD_Erzya-JR	Erzya	Uralic	367	3861	4228	0.08680227057710502	0.913197729422895	0.19713954387321223	0.8028604561267878
UD_Erzya-JR	Erzya	Uralic	562	6715	7277	0.07722962759378865	0.9227703724062114	0.20926975233972114	0.7907302476602789
UD_Esperanto-Cairo	Esperanto	unknown	35	79	114	0.30701754385964913	0.6929824561403509	0.40939597315436244	0.5906040268456376
UD_Esperanto-Prago	Esperanto	unknown	135	911	1046	0.12906309751434034	0.8709369024856597	0.4472713864306785	0.5527286135693216
UD_Estonian-EDT	Estonian	Uralic	1392	71882	73274	0.018997188634440592	0.9810028113655594	0.23584872826495523	0.7641512717350447
UD_Estonian-EDT	Estonian	Uralic	1445	78683	80128	0.018033646166134187	0.9819663538338658	0.23697950798435743	0.7630204920156426
UD_Estonian-EDT	Estonian	Uralic	1497	85644	87141	0.017179054635590593	0.9828209453644094	0.23707029913067287	0.7629297008693271
UD_Estonian-EWT	Estonian	Uralic	417	4556	4973	0.08385280514779811	0.9161471948522019	0.2843986001105176	0.7156013998894825
UD_Estonian-EWT	Estonian	Uralic	578	7044	7622	0.07583311466806612	0.9241668853319339	0.2932401911865119	0.7067598088134881
UD_Estonian-EWT	Estonian	Uralic	1031	20957	21988	0.04688921229761688	0.9531107877023831	0.2991022814799076	0.7008977185200924
UD_Faroese-FarPaHC	Faroese	Indo-European	244	1410	1654	0.1475211608222491	0.8524788391777509	0.5579116897060797	0.44208831029392026
UD_Faroese-FarPaHC	Faroese	Indo-European	276	2236	2512	0.10987261146496816	0.8901273885350318	0.5560048524059846	0.44399514759401537
UD_Faroese-FarPaHC	Faroese	Indo-European	348	3497	3845	0.0905071521456437	0.9094928478543564	0.566034359341446	0.43396564065855403
UD_Faroese-OFT	Faroese	Indo-European	153	3128	3281	0.046632124352331605	0.9533678756476683	0.36862791805621725	0.6313720819437828
UD_Finnish-FTB	Finnish	Uralic	778	7320	8098	0.09607310447023956	0.9039268955297605	0.28432145673524983	0.7156785432647501
UD_Finnish-FTB	Finnish	Uralic	1136	12709	13845	0.08205128205128205	0.9179487179487179	0.2896079288733421	0.7103920711266579
UD_Finnish-FTB	Finnish	Uralic	2304	44653	46957	0.04906616691867027	0.9509338330813297	0.2865752422746389	0.7134247577253612
UD_Finnish-OOD	Finnish	Uralic	567	7994	8561	0.06623058053965658	0.9337694194603434	0.22139757217435058	0.7786024278256494
UD_Finnish-PUD	Finnish	Uralic	379	7417	7796	0.048614674191893276	0.9513853258081068	0.23896703133139838	0.7610329686686016
UD_Finnish-TDT	Finnish	Uralic	1367	47657	49024	0.027884301566579634	0.9721156984334204	0.23468886383999538	0.7653111361600047
UD_Finnish-TDT	Finnish	Uralic	1432	51514	52946	0.027046424659086618	0.9729535753409134	0.23574295102406587	0.7642570489759342
UD_Finnish-TDT	Finnish	Uralic	1503	55661	57164	0.026292771674480443	0.9737072283255196	0.2373371335504886	0.7626628664495114
UD_French-ALTS	French	Indo-European	199	1082	1281	0.15534738485558158	0.8446526151444185	0.5179140874132433	0.4820859125867567
UD_French-ALTS	French	Indo-European	482	4701	5183	0.09299633416939997	0.9070036658306	0.5142641785249309	0.4857358214750691
UD_French-ALTS	French	Indo-European	546	6011	6557	0.08326978801281074	0.9167302119871893	0.5178173359609731	0.48218266403902693
UD_French-FQB	French	Indo-European	171	4059	4230	0.04042553191489362	0.9595744680851064	0.4960883129349652	0.5039116870650348
UD_French-GSD	French	Indo-European	279	8857	9136	0.030538528896672506	0.9694614711033275	0.4787462837624138	0.5212537162375862
UD_French-GSD	French	Indo-European	466	42883	43349	0.010749959629979931	0.9892500403700201	0.48048079496398693	0.5195192050360131
UD_French-GSD	French	Indo-European	470	43426	43896	0.010707125934025879	0.9892928740659741	0.48060715916795027	0.5193928408320497
UD_French-PUD	French	Indo-European	244	5817	6061	0.040257383270087446	0.9597426167299126	0.4864877181789181	0.5135122818210819
UD_French-ParTUT	French	Indo-European	276	3563	3839	0.07189372232352174	0.9281062776764782	0.5169510911836025	0.4830489088163975
UD_French-ParTUT	French	Indo-European	281	3833	4114	0.06830335439961109	0.9316966456003889	0.5176385583134988	0.4823614416865012
UD_French-ParTUT	French	Indo-European	286	4058	4344	0.06583793738489871	0.9341620626151013	0.5164487639322766	0.4835512360677234
UD_French-ParisStories	French	Indo-European	164	2053	2217	0.07397383852052324	0.9260261614794768	0.5275325535201942	0.47246744647980576
UD_French-ParisStories	French	Indo-European	172	2609	2781	0.061848256023013304	0.9381517439769866	0.52388589758277	0.4761141024172299
UD_French-ParisStories	French	Indo-European	181	3092	3273	0.055300947143293616	0.9446990528567064	0.5257845582690411	0.47421544173095886
UD_French-PoitevinDIVITAL	French	Indo-European	242	1342	1584	0.1527777777777778	0.8472222222222222	0.5176972281449893	0.48230277185501064
UD_French-Rhapsodie	French	Indo-European	160	1728	1888	0.0847457627118644	0.9152542372881356	0.500445941928451	0.4995540580715489
UD_French-Rhapsodie	French	Indo-European	200	3343	3543	0.056449336720293536	0.9435506632797065	0.49860424310097307	0.5013957568990269
UD_French-Rhapsodie	French	Indo-European	215	4382	4597	0.04676963236893626	0.9532303676310637	0.5045584045584045	0.49544159544159544
UD_French-Sequoia	French	Indo-European	208	2674	2882	0.07217210270645386	0.9278278972935462	0.4706879024059641	0.529312097594036
UD_French-Sequoia	French	Indo-European	339	8850	9189	0.036891936010447275	0.9631080639895527	0.4678770164690012	0.5321229835309988
UD_French-Sequoia	French	Indo-European	346	9601	9947	0.03478435709259073	0.9652156429074092	0.4684062625451626	0.5315937374548374
UD_Frisian_Dutch-Fame	Frisian_Dutch	Indo-European	170	1150	1320	0.12878787878787878	0.8712121212121212	0.43520257579822913	0.5647974242017708
UD_Galician-CTG	Galician	Indo-European	285	6504	6789	0.04197967300044189	0.9580203269995581	0.49147281023262773	0.5085271897673723
UD_Galician-CTG	Galician	Indo-European	352	10110	10462	0.0336455744599503	0.9663544255400497	0.49619516562220234	0.5038048343777977
UD_Galician-CTG	Galician	Indo-European	437	16971	17408	0.02510340073529412	0.9748965992647058	0.49798949581511354	0.5020105041848865
UD_Galician-PUD	Galician	Indo-European	273	5984	6257	0.0436311331308934	0.9563688668691066	0.47592919509518583	0.5240708049048142
UD_Galician-TreeGal	Galician	Indo-European	234	2811	3045	0.07684729064039408	0.9231527093596059	0.48807542983915697	0.511924570160843
UD_Galician-TreeGal	Galician	Indo-European	337	5422	5759	0.058517103663830526	0.9414828963361694	0.4912203879668958	0.5087796120331042
UD_Georgian-GLC	Georgian	Kartvelian	227	10799	11026	0.020587701795755486	0.9794122982042445	0.22570996978851965	0.7742900302114804
UD_Georgian-GLC	Georgian	Kartvelian	276	13020	13296	0.02075812274368231	0.9792418772563177	0.23065616038940698	0.769343839610593
UD_Georgian-GLC	Georgian	Kartvelian	285	14602	14887	0.01914421978907772	0.9808557802109222	0.2297922415192339	0.7702077584807661
